"(PDH-CSV 4.0) (","\\DESKTOP-INSGQFC\Memory\Cache Bytes","\\DESKTOP-INSGQFC\Memory\Committed Bytes","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Access Methods\Page Splits/sec","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Buffer Manager\Buffer cache hit ratio","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:General Statistics\User Connections","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Free Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Maximum Workspace Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Total Server Memory (KB)","\\DESKTOP-INSGQFC\Processor(_Total)\% Processor Time"
"11/10/2022 18:01:13.232","279203840","8206557184","0","100","1","34192","1750440","237464","3.7140116909998854844"
"11/10/2022 18:01:28.224","279777280","8209551360","0","100","1","34104","1750440","237464","5.2341952904747302"
"11/10/2022 18:01:43.221","279322624","8211648512","0","100","1","34064","25680","237464","5.5556383855238422598"
"11/10/2022 18:01:58.213","279609344","8225509376","0","100","1","34080","1751640","237464","5.1061612361468888821"
"11/10/2022 18:02:13.228","279908352","8191119360","0","100","1","34216","1751040","237464","7.0868552976286469658"
"11/10/2022 18:02:28.225","279162880","8232312832","0","100","1","34128","1751040","237464","5.6174560062140503902"
"11/10/2022 18:02:43.215","279584768","8206286848","0","100","1","34088","1851840","237464","7.4025923240727875552"
"11/10/2022 18:02:58.227","279875584","8218165248","0","100","1","34976","1838520","237464","6.3366550419388989468"
"11/10/2022 18:03:13.222","279429120","8187928576","0","100","1","34984","26520","237464","8.2868239061265729362"
"11/10/2022 18:03:28.207","278716416","8202743808","0","100","1","34832","1822440","237464","4.3175669329185151213"
"11/10/2022 18:03:43.216","279023616","8202899456","0","100","1","34792","1822440","237464","4.7219246425576733017"
"11/10/2022 18:03:58.217","278278144","8216674304","0","100","1","34336","25920","237464","4.3381381939006207205"
"11/10/2022 18:04:13.224","278876160","8225181696","0","100","1","34328","1792440","237464","6.0247118453056085485"
"11/10/2022 18:04:28.223","278446080","8190849024","0","100","1","34120","1783800","237464","5.5418457514801122699"
"11/10/2022 18:04:43.211","277921792","8190496768","0","100","1","34064","1783800","237464","6.3676739478841115627"
"11/10/2022 18:04:58.218","278274048","8206618624","0","100","1","33896","1783800","237464","4.4087744246266602488"
"11/10/2022 18:05:13.202","278560768","8207810560","0","100","1","34352","1772400","237464","7.662476101818338492"
"11/10/2022 18:05:28.217","278122496","8184238080","0","100","1","34440","1763640","237464","5.9293036306313879891"
"11/10/2022 18:05:43.215","278401024","8192315392","0","100","1","34400","1763640","237464","3.7951825477674394627"
"11/10/2022 18:05:58.217","277164032","8207503360","0","100","1","34296","1763640","237464","4.1024369175735593274"
"11/10/2022 18:06:13.232","277479424","8208887808","0","100","1","34336","1764840","237464","5.5633635477511989009"
"11/10/2022 18:06:28.217","277786624","8190873600","0","100","1","34424","25920","237464","5.7951564939743853699"
"11/10/2022 18:06:43.202","277045248","8195497984","0","100","1","34392","1755720","237464","4.2505243473799136922"
"11/10/2022 18:06:58.204","277368832","8210432000","0","100","1","34944","1755720","237464","7.0594485253891336995"
